sequence,frame,anchor,method,relative_l1,absolute_l1,token_relative_p95
4,7,4,linear_extrapolate,0.4538993849865679,0.39208829402923584,1.070439410209656
4,7,4,damped_extrapolate,0.4538993849865679,0.39208829402923584,1.070439410209656
4,7,4,causal_bounded_fit,0.4538993849865679,0.39208829402923584,1.070439410209656
4,7,4,two_anchor_mean,0.4538993849865679,0.39208829402923584,1.070439410209656
4,9,8,r3_gain_hold,0.0,0.0,0.0
4,9,8,linear_extrapolate,0.0,0.0,0.0
4,9,8,damped_extrapolate,0.0,0.0,0.0
4,9,8,causal_bounded_fit,0.0,0.0,0.0
4,9,8,two_anchor_mean,0.0,0.0,0.0
4,10,8,r3_gain_hold,0.0,0.0,0.0
4,10,8,linear_extrapolate,0.0,0.0,0.0
4,10,8,damped_extrapolate,0.0,0.0,0.0
4,10,8,causal_bounded_fit,0.0,0.0,0.0
4,10,8,two_anchor_mean,0.0,0.0,0.0
4,11,8,r3_gain_hold,0.0,0.0,0.0
4,11,8,linear_extrapolate,0.0,0.0,0.0
4,11,8,damped_extrapolate,0.0,0.0,0.0
4,11,8,causal_bounded_fit,0.0,0.0,0.0
4,11,8,two_anchor_mean,0.0,0.0,0.0
